Sn1,Sn2,Sn3,Sn4,Sn5,Sn6,Sn7,Sn8,Sn9,Sn10,Tt,dloc,ED,overload_loc
-8.815300000000002e-05,9.818e-05,0.000221379,0.000111925,-0.000180968,0.00035840900000000007,0.000165888,-4.28e-05,0.000204577,0.000497544,35.87785252,78,5,0
-0.000126528,6.27e-05,0.000265234,7.23e-05,-0.000117116,0.000327681,0.00013814,-4.95e-05,0.000128633,0.000318048,24.12214748,38,5,0
-0.00018339700000000002,9.3645e-05,0.000387945,0.0001085297,-0.000170593,0.0004809190000000001,0.000203442,-7.167600000000001e-05,0.000189953,0.0004689143,34.06736643,92,4,0
-0.000179242,0.000117243,0.000375503,0.00012773100000000001,-0.000200219,0.0005086390000000001,0.000216271,-6.620000000000001e-05,0.000229954,0.000559381,39.94521895,86,1,0
-0.00016893599999999998,8.669999999999999e-05,0.00035140800000000005,0.000110554,-0.000145302,0.000451493,0.000195396,-6.02e-05,0.00017716599999999998,0.000433078,32.07911691,95,3,0
-0.00021525,0.000112223,0.000463389,0.00012791,-0.00019982,0.000568092,0.000240044,-8.45e-05,0.000224009,0.000551814,39.51056516,20,2,0
-0.000126756,6.24e-05,0.000264596,7.219999999999999e-05,-0.000117065,0.000327814,0.000138353,-4.92e-05,0.000128716,0.000318046,24.12214748,39,3,0
-0.000105662,5.14e-05,0.000219553,5.93e-05,-9.78e-05,0.000270851,0.000113525,-4.22e-05,0.000105652,0.000262909,20.48943484,93,7,0
-0.000184404,9.43e-05,0.000392643,0.000108256,-0.000170652,0.000483289,0.000204118,-7.219999999999999e-05,0.000190166,0.000469138,34.06736643,23,1,0
-0.000105421,5.14e-05,0.000219591,5.93e-05,-9.79e-05,0.000270472,0.000113523,-4.22e-05,0.000105669,0.00026288900000000004,20.48943484,8,6,0
-0.00016059,8.170000000000001e-05,0.000341095,9.36e-05,-0.00014879799999999998,0.000419463,0.000176943,-6.31e-05,0.000164933,0.000407347,30.0,2,4,0
-0.000117458,4.705e-05,0.000209821,5.8087000000000015e-05,-9.6493e-05,0.000467168,0.000111079,-4.273e-05,0.000101721,0.00025639900000000004,20.05478105,9,9,0
-0.000154428,8.364e-05,0.000316106,9.3169e-05,-0.000148096,0.00040773800000000005,0.00016913299999999994,-5.768e-05,0.00016602599999999997,0.0004073036,30.0,52,4,0
-0.000160731,8.14e-05,0.000340251,9.41e-05,-0.00014825,0.000419632,0.00017706099999999998,-6.31e-05,0.000164684,0.000407123,30.0,94,5,0
-0.000184415,9.43e-05,0.000392696,0.000108246,-0.000170683,0.000483287,0.000204094,-7.219999999999999e-05,0.000190154,0.000469147,34.06736643,79,1,0
-0.000177915,0.000132694,0.000249212,0.000118938,-0.00018977900000000003,0.00047650800000000005,0.000165638,-3.330000000000001e-05,0.000230474,0.000539223,38.66025404,14,9,0
-0.00013718200000000002,6.87e-05,0.00028913,7.890000000000001e-05,-0.000127089,0.000355984,0.000149778,-5.4299999999999985e-05,0.00013950600000000002,0.000345573,25.93263357,30,1,0
-0.000210145,0.000117274,0.00043380800000000005,0.000128377,-0.00020104,0.0005597190000000001,0.00023172,-7.696999999999999e-05,0.000228958,0.0005584574,39.94521895,42,8,0
-0.000148475,7.52e-05,0.000314855,8.609999999999999e-05,-0.000137751,0.000386968,0.0001629,-5.89e-05,0.00015186,0.000375773,27.92088309,41,7,0
-0.000148324,7.53e-05,0.00031513200000000003,8.609999999999999e-05,-0.000137725,0.000386904,0.000162868,-5.88e-05,0.000151891,0.00037577,27.92088309,20,2,0
-0.000102995,5e-05,0.000213437,5.81e-05,-9.5e-05,0.000264025,0.000110796,-4.09e-05,0.000102943,0.000256074,20.05478105,77,9,0
-0.000202578,0.000111195,0.000454752,0.000124573,-0.000194629,0.000561616,0.000234238,-8.149999999999999e-05,0.00021955,0.000538826,38.66025404,6,7,0
